From_Currency_Code,From_Currency_Name,To_Currency_Code,To_Currency_Name,Exchange_Rate,Last_Refreshed,Time_Zone,Bid_Price,Ask_Price,EMA_Short,EMA_Long,MACD,MACD_Signal
BTC,Bitcoin,EUR,Euro,20304.51313000,2020-12-26 06:45:03,UTC,20304.50494500,20304.51313000,20264.72145664193,20277.24227977729,-12.520823135357205,-16.20032775844273
BTC,Bitcoin,EUR,Euro,20339.57767000,2020-12-26 06:50:01,UTC,20339.56948500,20339.57767000,20270.84325254317,20279.26234275675,-8.419090213577874,-14.64408024946976
BTC,Bitcoin,EUR,Euro,20331.88377000,2020-12-26 06:55:02,UTC,20331.87558500,20331.88377000,20281.41777830576,20283.730144774767,-2.3123664690065198,-12.177737493377112
BTC,Bitcoin,EUR,Euro,20323.89521000,2020-12-26 07:00:03,UTC,20323.88702500,20323.89521000,20289.181777027952,20287.297079976637,1.8846970513150154,-9.365250584438687
BTC,Bitcoin,EUR,Euro,20304.65227500,2020-12-26 07:05:02,UTC,20304.64409000,20304.65227500,20294.5223051775,20290.00805257096,4.51425260653923,-6.589349946243104
BTC,Bitcoin,EUR,Euro,20292.39114500,2020-12-26 07:10:01,UTC,20292.39114500,20292.39933000,20296.08076207327,20291.092809787926,4.987952285344363,-4.273889499925611
BTC,Bitcoin,EUR,Euro,20326.51441000,2020-12-26 07:15:03,UTC,20326.51441000,20326.52259500,20295.513128677383,20291.1889827666,4.324145910784864,-2.554282417783516
BTC,Bitcoin,EUR,Euro,20323.15856000,2020-12-26 07:20:03,UTC,20323.15856000,20323.16674500,20300.28255657317,20293.805681080186,6.476875492982799,-0.7480508356302529
BTC,Bitcoin,EUR,Euro,20357.02809000,2020-12-26 07:25:03,UTC,20357.01990500,20357.02809000,20303.80194171576,20295.97996840758,7.821973308178713,0.9659539931315404
BTC,Bitcoin,EUR,Euro,20383.91581500,2020-12-26 07:30:02,UTC,20383.90763000,20383.91581500,20311.990579913334,20300.5020514885,11.48852842483393,3.0704688794720183
BTC,Bitcoin,EUR,Euro,20355.74304500,2020-12-26 07:35:03,UTC,20355.73486000,20355.74304500,20323.0560006959,20306.680848785647,16.37515191025159,5.731405485627933
BTC,Bitcoin,EUR,Euro,20309.38320500,2020-12-26 07:40:02,UTC,20309.38320500,20309.39139000,20328.084776742682,20310.315085542265,17.769691200417583,8.139062628585863
BTC,Bitcoin,EUR,Euro,20327.55390500,2020-12-26 07:45:06,UTC,20327.55390500,20327.56209000,20325.20761185919,20310.24605735395,14.961554505240201,9.503561003916731
BTC,Bitcoin,EUR,Euro,20277.55992500,2020-12-26 07:50:01,UTC,20277.36348500,20277.56811000,20325.5685800347,20311.528120142546,14.040459892152285,10.410940781563843
BTC,Bitcoin,EUR,Euro,20274.07311500,2020-12-26 07:55:02,UTC,20274.07311500,20274.08130000,20318.182633106284,20309.011957539395,9.170675566889258,10.162887738628928
BTC,Bitcoin,EUR,Euro,20282.88017500,2020-12-26 08:00:05,UTC,20282.88017500,20282.88836000,20311.396553397622,20306.42389512907,4.972658268550731,9.12484184461329
BTC,Bitcoin,EUR,Euro,20313.84403000,2020-12-26 08:05:03,UTC,20313.83584500,20313.84403000,20307.009418259528,20304.67991586025,2.3295023992759525,7.765773955545822
BTC,Bitcoin,EUR,Euro,20329.30549500,2020-12-26 08:10:01,UTC,20329.30549500,20329.31368000,20308.06089698883,20305.358739129864,2.7021578589665296,6.753050736229964
BTC,Bitcoin,EUR,Euro,20339.75774000,2020-12-26 08:15:03,UTC,20339.75774000,20339.76592500,20311.329296682856,20307.132572898023,4.1967237848330115,6.241785345950573
BTC,Bitcoin,EUR,Euro,20337.71149000,2020-12-26 08:20:02,UTC,20337.70330500,20337.71149000,20315.70290334703,20309.54925194261,6.1536514044200885,6.2241585576444765
BTC,Bitcoin,EUR,Euro,20396.16057500,2020-12-26 08:25:03,UTC,20396.15239000,20396.16057500,20319.08883975518,20311.635343650567,7.453496104611986,6.470026067037979
BTC,Bitcoin,EUR,Euro,20427.36998000,2020-12-26 08:30:03,UTC,20427.36179500,20427.36998000,20330.946029792845,20317.89647189867,13.049557894173631,7.78593243246511
BTC,Bitcoin,EUR,Euro,20415.19070000,2020-12-26 08:35:02,UTC,20415.18251500,20415.19070000,20345.78048367087,20326.00562064692,19.774863023951184,10.183718550762325
BTC,Bitcoin,EUR,Euro,20383.67026500,2020-12-26 08:40:03,UTC,20383.66208000,20383.67026500,20356.458978490737,20332.611922821223,23.847055669513793,12.91638597451262
BTC,Bitcoin,EUR,Euro,20373.84008000,2020-12-26 08:45:03,UTC,20373.84008000,20373.84826500,20360.64533026139,20336.394022241875,24.251308019516728,15.183370383513441
BTC,Bitcoin,EUR,Euro,20380.62544500,2020-12-26 08:50:02,UTC,20380.62544500,20380.63363000,20362.67529175964,20339.16780429803,23.507487461607525,16.848193799132257
BTC,Bitcoin,EUR,Euro,20374.41303000,2020-12-26 08:55:02,UTC,20374.41303000,20374.42121500,20365.436853796615,20342.238740646324,23.198113150290737,18.118177669363956
BTC,Bitcoin,EUR,Euro,20386.12576500,2020-12-26 09:00:03,UTC,20386.12576500,20386.13395000,20366.81780398175,20344.622021339186,22.195782642564154,18.933698664003998
BTC,Bitcoin,EUR,Euro,20380.64181500,2020-12-26 09:05:03,UTC,20380.64181500,20380.65000000,20369.788259523022,20347.696372721468,22.09188680155421,19.565336291514043
BTC,Bitcoin,EUR,Euro,20344.73422000,2020-12-26 09:10:02,UTC,20344.62781500,20344.73422000,20371.45803728871,20350.13677585321,21.321261435499764,19.916521320311187
BTC,Bitcoin,EUR,Euro,20327.83219500,2020-12-26 09:15:03,UTC,20327.83219500,20327.84038000,20367.346680782757,20349.73658653075,17.610094252006093,19.455235906650167
BTC,Bitcoin,EUR,Euro,20306.41205000,2020-12-26 09:20:02,UTC,20306.41205000,20306.42023500,20361.26752912387,20348.114039009957,13.153490113912994,18.194886748102732
BTC,Bitcoin,EUR,Euro,20309.17039500,2020-12-26 09:25:03,UTC,20309.86612000,20309.87430500,20352.828224643275,20345.025002786995,7.803221856280288,16.116553769738243
BTC,Bitcoin,EUR,Euro,20246.19500500,2020-12-26 09:30:04,UTC,20246.18682000,20246.19500500,20346.111635467387,20342.369105913884,3.7425295535031182,13.64174892649122
BTC,Bitcoin,EUR,Euro,20290.86873500,2020-12-26 09:35:02,UTC,20290.86055000,20290.86873500,20330.739846164714,20335.24509843878,-4.505252274066152,10.012348686379745
BTC,Bitcoin,EUR,Euro,20295.69788500,2020-12-26 09:40:01,UTC,20295.68970000,20295.69788500,20324.60582906245,20331.95796040628,-7.35213134382866,6.539452680338065
BTC,Bitcoin,EUR,Euro,20283.33853500,2020-12-26 09:45:05,UTC,20283.33853500,20283.34672000,20320.15845305284,20329.272028894702,-9.113575841860438,3.4088469758983644
BTC,Bitcoin,EUR,Euro,20334.65030000,2020-12-26 09:50:03,UTC,20334.64211500,20334.65030000,20314.49385027548,20325.869547865463,-11.375697589981428,0.4519380627224061
BTC,Bitcoin,EUR,Euro,20325.00837000,2020-12-26 09:55:03,UTC,20324.62367500,20324.63186000,20317.59484254079,20326.519973949504,-8.925131408712332,-1.4234758315645415
BTC,Bitcoin,EUR,Euro,20347.72993000,2020-12-26 10:00:03,UTC,20347.72993000,20347.73811500,20318.735385226824,20326.408003286575,-7.6726180597506755,-2.673304277201768
BTC,Bitcoin,EUR,Euro,20354.13060000,2020-12-26 10:05:03,UTC,20354.13060000,20354.13878500,20323.196084422696,20327.987405265347,-4.791320842650748,-3.0969075902915644
BTC,Bitcoin,EUR,Euro,20339.40578500,2020-12-26 10:10:03,UTC,20339.39760000,20339.40578500,20327.95524066536,20329.923938208656,-1.9686975432960026,-2.871265580892452
BTC,Bitcoin,EUR,Euro,20323.34681500,2020-12-26 10:15:03,UTC,20323.34681500,20323.35500000,20329.71686287069,20330.62629723024,-0.9094343595497776,-2.478899336623917
BTC,Bitcoin,EUR,Euro,20354.81814000,2020-12-26 10:20:01,UTC,20354.80995500,20354.81814000,20328.736855505966,20330.087076324297,-1.350220818330854,-2.2531636329653044
BTC,Bitcoin,EUR,Euro,20316.30771500,2020-12-26 10:25:03,UTC,20316.30771500,20316.34864000,20332.74936081274,20331.919006966942,0.8303538457985269,-1.6364601372125382
BTC,Bitcoin,EUR,Euro,20305.87184000,2020-12-26 10:30:04,UTC,20305.86365500,20305.87184000,20330.219876841547,20330.76261496939,-0.5427381278423127,-1.4177157353384933
BTC,Bitcoin,EUR,Euro,20281.83249500,2020-12-26 10:35:03,UTC,20281.60331500,20281.61968500,20326.47402501977,20328.918853860545,-2.4448288407766086,-1.6231383564261164
BTC,Bitcoin,EUR,Euro,20281.71790500,2020-12-26 10:40:01,UTC,20281.70972000,20281.71790500,20319.606097324417,20325.43097542643,-5.824878102012008,-2.4634863055432947
BTC,Bitcoin,EUR,Euro,20184.38188500,2020-12-26 10:45:03,UTC,20184.37370000,20184.39007000,20313.77714465912,20322.192970209657,-8.415825550535374,-3.6539541545417107
BTC,Bitcoin,EUR,Euro,20212.84931500,2020-12-26 10:50:02,UTC,20212.84931500,20212.85750000,20293.87018163464,20311.98474167561,-18.11456004096908,-6.546075331827185
BTC,Bitcoin,EUR,Euro,20237.04417500,2020-12-26 10:55:03,UTC,20237.03599000,20237.04417500,20281.405432921616,20304.641376736676,-23.235943815059727,-9.884049028473694
BTC,Bitcoin,EUR,Euro,20234.14668500,2020-12-26 11:00:03,UTC,20234.13850000,20234.14668500,20274.5806240106,20299.634176608033,-25.053552597433736,-12.917949742265701
