From_Currency_Code,From_Currency_Name,To_Currency_Code,To_Currency_Name,Exchange_Rate,Last_Refreshed,Time_Zone,Bid_Price,Ask_Price
BTC,Bitcoin,EUR,Euro,18692.23560000,2020-12-22 04:00:03,UTC,18692.22742500,18693.42915000
BTC,Bitcoin,EUR,Euro,18802.50000000,2020-12-22 04:05:03,UTC,18802.49182500,18802.50000000
BTC,Bitcoin,EUR,Euro,18860.06017500,2020-12-22 04:10:01,UTC,18860.05200000,18860.06017500
BTC,Bitcoin,EUR,Euro,18823.11735000,2020-12-22 04:15:04,UTC,18823.10917500,18823.11735000
BTC,Bitcoin,EUR,Euro,18819.66804900,2020-12-22 04:20:03,UTC,18819.66804900,18819.67622600
BTC,Bitcoin,EUR,Euro,18821.00090000,2020-12-22 04:25:03,UTC,18820.99272300,18821.00090000
BTC,Bitcoin,EUR,Euro,18795.84905400,2020-12-22 04:30:01,UTC,18795.84087600,18795.84905400
BTC,Bitcoin,EUR,Euro,18778.99778000,2020-12-22 04:35:03,UTC,18778.62968000,18778.63786000
BTC,Bitcoin,EUR,Euro,18799.24190300,2020-12-22 04:40:03,UTC,18799.98601000,18799.99418700
BTC,Bitcoin,EUR,Euro,18768.76025000,2020-12-22 04:45:03,UTC,18768.75207100,18771.14033900
BTC,Bitcoin,EUR,Euro,18775.71405900,2020-12-22 04:50:01,UTC,18774.76506300,18774.77324400
BTC,Bitcoin,EUR,Euro,18749.12247100,2020-12-22 04:55:04,UTC,18749.12247100,18749.13065000
BTC,Bitcoin,EUR,Euro,18780.31903200,2020-12-22 05:00:04,UTC,18780.31085400,18780.31903200
BTC,Bitcoin,EUR,Euro,18738.49042000,2020-12-22 05:05:03,UTC,18738.48224000,18738.49042000
BTC,Bitcoin,EUR,Euro,18705.02130300,2020-12-22 05:10:02,UTC,18705.02130300,18705.02948200
BTC,Bitcoin,EUR,Euro,18707.30826000,2020-12-22 05:15:04,UTC,18707.30008000,18707.30826000
BTC,Bitcoin,EUR,Euro,18715.75551000,2020-12-22 05:20:03,UTC,18715.75551000,18715.76369100
BTC,Bitcoin,EUR,Euro,18620.76591900,2020-12-22 05:25:04,UTC,18620.75773800,18620.76591900
BTC,Bitcoin,EUR,Euro,18671.65164000,2020-12-22 05:30:02,UTC,18671.64346000,18671.65164000
BTC,Bitcoin,EUR,Euro,18647.23434000,2020-12-22 05:35:03,UTC,18647.22616000,18647.23434000
BTC,Bitcoin,EUR,Euro,18567.85121100,2020-12-22 05:40:02,UTC,18567.84303000,18567.85121100
BTC,Bitcoin,EUR,Euro,18527.19164100,2020-12-22 05:45:04,UTC,18527.18346000,18527.19164100
BTC,Bitcoin,EUR,Euro,18540.63225000,2020-12-22 05:50:01,UTC,18540.62406700,18540.63225000
BTC,Bitcoin,EUR,Euro,18565.11578600,2020-12-22 05:55:02,UTC,18565.10760300,18565.11578600
BTC,Bitcoin,EUR,Euro,18576.80553600,2020-12-22 06:00:04,UTC,18576.80553600,18576.81371800
BTC,Bitcoin,EUR,Euro,18599.06057600,2020-12-22 06:05:03,UTC,18599.05239400,18599.06057600
BTC,Bitcoin,EUR,Euro,18523.24839900,2020-12-22 06:10:03,UTC,18523.24021800,18523.24839900
BTC,Bitcoin,EUR,Euro,18549.77303400,2020-12-22 06:15:05,UTC,18549.82210200,18549.83028000
BTC,Bitcoin,EUR,Euro,18597.03369600,2020-12-22 06:20:02,UTC,18597.46713000,18597.47530800
BTC,Bitcoin,EUR,Euro,18623.92702300,2020-12-22 06:25:03,UTC,18623.92702300,18623.93520000
BTC,Bitcoin,EUR,Euro,18652.10317300,2020-12-22 06:30:02,UTC,18651.90687700,18651.97230900
BTC,Bitcoin,EUR,Euro,18630.29795900,2020-12-22 06:35:03,UTC,18630.28978000,18630.29795900
BTC,Bitcoin,EUR,Euro,18607.15273500,2020-12-22 06:40:02,UTC,18607.15273500,18607.16091600
BTC,Bitcoin,EUR,Euro,18606.50612000,2020-12-22 06:45:06,UTC,18606.50612000,18606.51430000
BTC,Bitcoin,EUR,Euro,18645.53798700,2020-12-22 06:50:01,UTC,18645.52980600,18645.53798700
BTC,Bitcoin,EUR,Euro,18682.00969200,2020-12-22 06:55:03,UTC,18682.00151000,18682.00969200
BTC,Bitcoin,EUR,Euro,18626.21824700,2020-12-22 07:00:05,UTC,18626.21824700,18626.22643000
BTC,Bitcoin,EUR,Euro,18593.81591400,2020-12-22 07:05:03,UTC,18593.81591400,18593.82409600
BTC,Bitcoin,EUR,Euro,18653.92351200,2020-12-22 07:10:01,UTC,18653.03996400,18653.04814500
BTC,Bitcoin,EUR,Euro,18649.51043000,2020-12-22 07:15:04,UTC,18649.50225100,18649.51043000
BTC,Bitcoin,EUR,Euro,18592.48645800,2020-12-22 07:20:02,UTC,18592.48645800,18592.49463500
BTC,Bitcoin,EUR,Euro,18632.17912900,2020-12-22 07:25:02,UTC,18632.17095000,18632.17912900
BTC,Bitcoin,EUR,Euro,18612.34664000,2020-12-22 07:30:04,UTC,18612.34664000,18612.35482000
BTC,Bitcoin,EUR,Euro,18545.13024000,2020-12-22 07:35:03,UTC,18545.12206400,18545.13024000
BTC,Bitcoin,EUR,Euro,18466.21722400,2020-12-22 07:40:02,UTC,18467.48465900,18467.49283600
BTC,Bitcoin,EUR,Euro,18528.18253000,2020-12-22 07:45:03,UTC,18528.18253000,18529.08200000
BTC,Bitcoin,EUR,Euro,18465.38317000,2020-12-22 07:50:01,UTC,18464.71265600,18465.38317000
BTC,Bitcoin,EUR,Euro,18511.96753900,2020-12-22 07:55:03,UTC,18511.10077700,18511.96753900
BTC,Bitcoin,EUR,Euro,18540.71408000,2020-12-22 08:00:04,UTC,18541.12323000,18541.13141300
BTC,Bitcoin,EUR,Euro,18494.66137600,2020-12-22 08:05:03,UTC,18494.65318800,18494.66137600
BTC,Bitcoin,EUR,Euro,18499.11989100,2020-12-22 08:10:01,UTC,18498.03973500,18498.04791800
BTC,Bitcoin,EUR,Euro,18487.29590400,2020-12-22 08:15:04,UTC,18487.29590400,18487.30408800
BTC,Bitcoin,EUR,Euro,18467.95162600,2020-12-22 08:20:04,UTC,18467.95162600,18467.95981200
BTC,Bitcoin,EUR,Euro,18354.15694200,2020-12-22 08:25:02,UTC,18350.33361300,18356.40836700
BTC,Bitcoin,EUR,Euro,18391.71789000,2020-12-22 08:30:03,UTC,18391.71789000,18391.72608000
BTC,Bitcoin,EUR,Euro,18449.43489400,2020-12-22 08:35:02,UTC,18449.43489400,18449.44308000
BTC,Bitcoin,EUR,Euro,18495.39662600,2020-12-22 08:40:02,UTC,18493.63728100,18495.38026000
BTC,Bitcoin,EUR,Euro,18520.62792400,2020-12-22 08:45:04,UTC,18520.61974200,18520.62792400
BTC,Bitcoin,EUR,Euro,18544.58463900,2020-12-22 08:50:01,UTC,18544.58463900,18544.59282200
BTC,Bitcoin,EUR,Euro,18531.50370000,2020-12-22 08:55:03,UTC,18531.49552000,18531.50370000
BTC,Bitcoin,EUR,Euro,18551.72466000,2020-12-22 09:00:05,UTC,18551.72466000,18552.30544000
BTC,Bitcoin,EUR,Euro,18634.04818000,2020-12-22 09:05:03,UTC,18634.59624000,18634.60442000
BTC,Bitcoin,EUR,Euro,18628.65802200,2020-12-22 09:10:01,UTC,18628.64984400,18628.65802200
BTC,Bitcoin,EUR,Euro,18631.70335000,2020-12-22 09:15:03,UTC,18631.70335000,18631.71152700
BTC,Bitcoin,EUR,Euro,18594.35765100,2020-12-22 09:20:03,UTC,18594.35765100,18594.36583200
BTC,Bitcoin,EUR,Euro,18591.52232700,2020-12-22 09:25:02,UTC,18591.92329400,18592.07058800
BTC,Bitcoin,EUR,Euro,18602.49149000,2020-12-22 09:30:02,UTC,18602.49149000,18602.49967500
BTC,Bitcoin,EUR,Euro,18593.62535800,2020-12-22 09:35:03,UTC,18593.62535800,18593.63354100
BTC,Bitcoin,EUR,Euro,18557.40740000,2020-12-22 09:40:03,UTC,18557.39921700,18557.40740000
BTC,Bitcoin,EUR,Euro,18550.05081600,2020-12-22 09:45:03,UTC,18549.46156800,18549.46975200
BTC,Bitcoin,EUR,Euro,18533.18207100,2020-12-22 09:50:01,UTC,18533.17388400,18533.18207100
BTC,Bitcoin,EUR,Euro,18599.70144600,2020-12-22 09:55:02,UTC,18596.52489000,18599.70144600
BTC,Bitcoin,EUR,Euro,18660.68281000,2020-12-22 10:00:04,UTC,18661.59145600,18662.97489000
BTC,Bitcoin,EUR,Euro,18630.01790700,2020-12-22 10:05:02,UTC,18630.01790700,18630.93485100
BTC,Bitcoin,EUR,Euro,18619.75281000,2020-12-22 10:10:01,UTC,18619.74462400,18619.75281000
BTC,Bitcoin,EUR,Euro,18658.49714800,2020-12-22 10:15:04,UTC,18658.48896200,18658.49714800
BTC,Bitcoin,EUR,Euro,18601.72459200,2020-12-22 10:20:03,UTC,18601.71640800,18601.72459200
BTC,Bitcoin,EUR,Euro,18594.64398600,2020-12-22 10:25:02,UTC,18594.64398600,18594.65216700
BTC,Bitcoin,EUR,Euro,18576.88634000,2020-12-22 10:30:03,UTC,18576.87816000,18576.88634000
BTC,Bitcoin,EUR,Euro,18566.76161600,2020-12-22 10:35:02,UTC,18566.75343900,18566.76161600
BTC,Bitcoin,EUR,Euro,18550.53635100,2020-12-22 10:40:01,UTC,18550.53635100,18550.54453000
BTC,Bitcoin,EUR,Euro,18570.87818100,2020-12-22 10:45:04,UTC,18570.87000000,18570.87818100
BTC,Bitcoin,EUR,Euro,18738.49792500,2020-12-22 11:30:06,UTC,18738.04012500,18738.49792500
BTC,Bitcoin,EUR,Euro,18887.14140000,2020-12-22 11:55:03,UTC,18887.14140000,18887.14956600
BTC,Bitcoin,EUR,Euro,18890.53583500,2020-12-22 12:00:04,UTC,18890.53583500,18892.17700000
BTC,Bitcoin,EUR,Euro,18936.49670400,2020-12-22 12:05:03,UTC,18936.49670400,18936.50487000
BTC,Bitcoin,EUR,Euro,18893.98184400,2020-12-22 12:10:01,UTC,18893.98184400,18893.99000700
BTC,Bitcoin,EUR,Euro,18884.96544000,2020-12-22 12:15:04,UTC,18884.96544000,18884.97360000
BTC,Bitcoin,EUR,Euro,18880.86923100,2020-12-22 12:20:03,UTC,18880.98342900,18881.18735400
BTC,Bitcoin,EUR,Euro,18917.82646600,2020-12-22 12:25:02,UTC,18917.82646600,18917.83462800
BTC,Bitcoin,EUR,Euro,18869.72725000,2020-12-22 12:30:03,UTC,18869.72725000,18869.73540900
BTC,Bitcoin,EUR,Euro,18854.60046400,2020-12-22 12:35:02,UTC,18854.59230500,18854.60046400
BTC,Bitcoin,EUR,Euro,18878.24976000,2020-12-22 12:40:03,UTC,18878.24976000,18880.20816000
BTC,Bitcoin,EUR,Euro,18847.69856200,2020-12-22 12:45:04,UTC,18847.69856200,18847.70672400
BTC,Bitcoin,EUR,Euro,18976.63367600,2020-12-22 12:50:01,UTC,18976.63367600,18976.64183800
BTC,Bitcoin,EUR,Euro,18956.79185400,2020-12-22 12:55:02,UTC,18956.78369200,18956.79185400
BTC,Bitcoin,EUR,Euro,18924.80299200,2020-12-22 13:00:04,UTC,18924.79482600,18924.80299200
BTC,Bitcoin,EUR,Euro,18903.11409600,2020-12-22 13:05:03,UTC,18903.11409600,18903.12226200
BTC,Bitcoin,EUR,Euro,18927.19400700,2020-12-22 13:10:01,UTC,18928.91724400,18928.92541100
BTC,Bitcoin,EUR,Euro,18885.59947600,2020-12-22 13:15:04,UTC,18877.34263900,18885.59947600
BTC,Bitcoin,EUR,Euro,18931.23780000,2020-12-22 13:20:02,UTC,18931.23780000,18931.24596600
BTC,Bitcoin,EUR,Euro,18969.48999000,2020-12-22 13:25:04,UTC,18969.48182000,18969.48999000
BTC,Bitcoin,EUR,Euro,18909.53247500,2020-12-22 13:30:04,UTC,18909.44259400,18909.54064600
BTC,Bitcoin,EUR,Euro,19174.15031000,2020-12-22 13:55:03,UTC,19166.65750300,19174.15031000
BTC,Bitcoin,EUR,Euro,19201.02472900,2020-12-22 14:00:04,UTC,19201.02472900,19201.03290000
BTC,Bitcoin,EUR,Euro,19255.13172500,2020-12-22 14:05:04,UTC,19255.13172500,19255.13989200
BTC,Bitcoin,EUR,Euro,19213.07998400,2020-12-22 14:10:01,UTC,19213.07998400,19213.08815200
BTC,Bitcoin,EUR,Euro,19254.23428100,2020-12-22 14:15:05,UTC,19254.23428100,19254.24245200
BTC,Bitcoin,EUR,Euro,19190.99299000,2020-12-22 14:55:06,UTC,19190.98480500,19190.99299000
BTC,Bitcoin,EUR,Euro,19200.85181200,2020-12-22 15:00:05,UTC,19200.85181200,19200.86000000
BTC,Bitcoin,EUR,Euro,19153.00296000,2020-12-22 15:05:03,UTC,19152.99477000,19153.00296000
BTC,Bitcoin,EUR,Euro,19191.55605000,2020-12-22 15:10:02,UTC,19191.54786300,19191.55605000
BTC,Bitcoin,EUR,Euro,19207.43160300,2020-12-22 15:15:03,UTC,19207.43160300,19207.43979600
BTC,Bitcoin,EUR,Euro,19229.47299000,2020-12-22 15:20:03,UTC,19229.47299000,19229.48118000
BTC,Bitcoin,EUR,Euro,19254.74522800,2020-12-22 15:25:04,UTC,19253.15675600,19256.75947600
BTC,Bitcoin,EUR,Euro,19277.40961200,2020-12-22 15:30:03,UTC,19277.40961200,19277.41780000
BTC,Bitcoin,EUR,Euro,19272.22189200,2020-12-22 15:35:03,UTC,19272.21370300,19272.22189200
BTC,Bitcoin,EUR,Euro,19273.38930400,2020-12-22 15:40:03,UTC,19273.38111600,19273.38930400
